DATE,MBCURRCIR
1987-03-01,207400.0
1987-04-01,209600.0
1987-05-01,212000.0
1987-06-01,214400.0
1987-07-01,216400.0
1987-08-01,217000.0
1987-09-01,217600.0
1987-10-01,218800.0
1987-11-01,223000.0
1987-12-01,227200.0
1988-01-01,226500.0
1988-02-01,224400.0
1988-03-01,225500.0
1988-04-01,228200.0
1988-05-01,230500.0
1988-06-01,233500
1988-07-01,236000.0
1988-08-01,236000.0
1988-09-01,236200.0
1988-10-01,237100.0
1988-11-01,240300.0
1988-12-01,244400.0
1989-01-01,243600.0
1989-02-01,240600.0
1989-03-01,242100.0
1989-04-01,243800.0
1989-05-01,245600.0
1989-06-01,248000.0
1989-07-01,249900.0
1989-08-01,249200.0
1989-09-01,248800.0
1989-10-01,249200.0
1989-11-01,251800.0
1989-12-01,256800.0
1990-01-01,256800.0
1990-02-01,254700.0
1990-03-01,256800.0
1990-04-01,259900.0
1990-05-01,262400.0
1990-06-01,266000.0
1990-07-01,268900.0
1990-08-01,270600.0
1990-09-01,272700.0
1990-10-01,274600.0
1990-11-01,278300.0
1990-12-01,282900.0
1991-01-01,284600.0
1991-02-01,284300.0
1991-03-01,286400.0
1991-04-01,287500.0
1991-05-01,288800.0
1991-06-01,291200.0
1991-07-01,293400.0
1991-08-01,293900.0
1991-09-01,294600.0
1991-10-01,295800.0
1991-11-01,299100.0
1991-12-01,304500.0
1992-01-01,303300.0
1992-02-01,301700.0
1992-03-01,302800.0
1992-04-01,305500.0
1992-05-01,308100.0
1992-06-01,310500.0
1992-07-01,313500.0
1992-08-01,315800.0
1992-09-01,318500.0
1992-10-01,320400.0
1992-11-01,324400.0
1992-12-01,330500.0
1993-01-01,330300.0
1993-02-01,329500.0
1993-03-01,331600.0
1993-04-01,335400.0
1993-05-01,338600.0
1993-06-01,343000.0
1993-07-01,346200.0
1993-08-01,348200.0
1993-09-01,351100.0
1993-10-01,353300.0
1993-11-01,356600.0
1993-12-01,362400.0
1994-01-01,362900.0
1994-02-01,363800.0
1994-03-01,366800.0
1994-04-01,370900.0
1994-05-01,374200.0
1994-06-01,379100.0
1994-07-01,383100.0
1994-08-01,384300.0
1994-09-01,386600
1994-10-01,389000.0
1994-11-01,393600.0
1994-12-01,399000.0
1995-01-01,399200.0
1995-02-01,396700.0
1995-03-01,400600.0
1995-04-01,405100.0
1995-05-01,408200.0
1995-06-01,409400.0
1995-07-01,410700.0
1995-08-01,410400.0
